sample_date_utc,year_month,year,month,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-03T21:41:21Z,2019/8,2019,8,Doliolum spp.,NON-COPEPOD,2.6667,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Egg,NON-COPEPOD,2,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Euconchoecia aculeata,NON-COPEPOD,2,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Eutintinnus spp.,NON-COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Facetotecta nauplii,NON-COPEPOD,1.3333,zooplankton
2019-08-03T21:41:21Z,2019/8,2019,8,Oikopleuridae,NON-COPEPOD,86,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Candacia spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Acartia spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Calanoid j,COPEPOD,4.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Candacia bradyi f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Canthocalanus pauper f,COPEPOD,3.3333,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Canthocalanus pauper m,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Clausocalanus arcuicornis f,COPEPOD,2,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,Euchaeta concinna f,COPEPOD,0.6667,zooplankton
