sample_date_utc,year_month,year,month,day,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-04T06:40:38Z,2019/8,2019,8,4,Chaetognatha,NON-COPEPOD,14,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Brachyuran zoea,NON-COPEPOD,2.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Bivalve,NON-COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Barnacle nauplii,NON-COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Undinula vulgaris m,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Undinula vulgaris f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Undinula vulgaris CV,COPEPOD,4.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Tortanus barbatus f,COPEPOD,0.6667,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Acartia negligens f,COPEPOD,1.3333,zooplankton
2019-08-04T06:40:38Z,2019/8,2019,8,4,Acartia spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Chaetognatha,NON-COPEPOD,13.3333,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Oithona spp. j,COPEPOD,12,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Undinula vulgaris CIV,COPEPOD,1.3333,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Candacia spp. m,COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Labidocera minuta f,COPEPOD,1.3333,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Oncaea venusta typica m,COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Corycaeus spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Acartia tranteri m,COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Siphonophore,NON-COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Oikopleuridae,NON-COPEPOD,28.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Lucifer spp. protozoea,NON-COPEPOD,0.6667,zooplankton
2019-08-04T08:28:30Z,2019/8,2019,8,4,Fish j,NON-COPEPOD,0.6667,zooplankton
